Patch width,Patch length,Substrate width,Substrate length,Frequency
7.01,4.71,16.61,14.31,13.01
7.01,4.7,16.61,14.3,13.02
7,4.7,16.6,14.3,13.03
7,4.7,16.6,14.3,13.04
6.99,4.69,16.59,14.29,13.05
6.98,4.69,16.58,14.29,13.06
6.98,4.68,16.58,14.28,13.07
6.98,4.68,16.58,14.28,13.08
6.97,4.68,16.57,14.28,13.09
6.97,4.67,16.57,14.27,13.1
6.96,4.67,16.56,14.27,13.11
6.96,4.66,16.56,14.26,13.12
6.95,4.66,16.55,14.26,13.13
6.95,4.66,16.55,14.26,13.14
6.94,4.65,16.54,14.25,13.15
6.94,4.65,16.54,14.25,13.16
6.93,4.64,16.53,14.24,13.17
6.93,4.64,16.53,14.24,13.18
6.92,4.63,16.52,14.23,13.19
6.92,4.63,16.52,14.23,13.2
6.91,4.63,16.51,14.21,13.21
6.91,4.62,16.51,14.22,13.22
6.9,4.62,16.5,14.22,13.23
6.9,4.61,16.5,14.21,13.24
6.89,4.61,16.49,14.21,13.25
6.88,4.6,16.48,14.2,13.26
6.88,4.6,16.48,14.2,13.27
6.87,4.6,16.47,14.2,13.28
6.87,4.59,16.47,14.19,13.29
6.86,4.59,16.46,14.19,13.3
6.86,4.58,16.46,14.18,13.31
6.85,4.58,16.45,14.18,13.32
6.85,4.58,16.45,14.18,13.33
6.84,4.57,16.44,14.17,13.34
6.84,4.57,16.44,14.17,13.35
6.83,4.56,16.43,14.16,13.36
6.83,4.56,16.43,14.16,13.37
6.82,4.55,16.42,14.15,13.38
6.82,4.55,16.42,14.15,13.39
6.81,4.55,16.41,14.15,13.4
6.81,4.54,16.41,14.14,13.41
6.8,4.54,16.4,14.14,13.42
6.8,4.53,16.4,14.13,13.43
6.79,4.53,16.39,14.13,13.44
6.79,4.53,16.39,14.13,13.45
6.78,4.52,16.38,14.12,13.46
6.77,4.51,16.37,14.11,13.47
6.77,4.51,16.37,14.11,13.48
6.76,4.51,16.36,14.11,13.49
6.76,4.5,16.36,14.1,13.5
6.75,4.5,16.35,14.1,13.51
6.75,4.49,16.35,14.09,13.52
6.74,4.49,16.34,14.09,13.53
6.74,4.48,16.34,14.08,13.54
6.73,4.48,16.33,14.08,13.55
6.73,4.48,16.33,14.08,13.56
6.72,4.47,16.32,14.07,13.57
6.72,4.47,16.32,14.07,13.58
6.71,4.46,16.31,14.06,13.59
6.71,4.46,16.31,14.06,13.6
6.7,4.46,16.3,14.06,13.61
6.7,4.45,16.3,14.05,13.62
6.69,4.45,16.29,14.05,13.63
6.69,4.44,16.29,14.04,13.64
6.68,4.44,16.28,14.04,13.65
6.68,4.44,16.28,14.04,13.66
6.67,4.43,16.27,14.03,13.67
6.67,4.43,16.27,14.03,13.68
6.66,4.42,16.26,14.02,13.69
6.66,4.42,16.26,14.02,13.7
6.65,4.42,16.25,14.02,13.71
6.65,4.41,16.25,14.01,13.72
6.64,4.41,16.24,14.01,13.73
6.64,4.41,16.24,14.01,13.74
6.63,4.4,16.23,14,13.75
6.63,4.4,16.23,14,13.76
6.62,4.39,16.22,13.99,13.77
6.62,4.39,16.22,13.99,13.78
6.61,4.39,16.21,13.99,13.79
6.61,4.38,16.21,13.98,13.8
6.61,4.38,16.21,13.98,13.81
6.6,4.37,16.2,13.97,13.82
6.6,4.37,16.2,13.97,13.83
6.59,4.37,16.19,13.97,13.84
6.59,4.36,16.19,13.96,13.85
6.58,4.36,16.18,13.96,13.86
6.58,4.35,16.18,13.95,13.87
6.57,4.35,16.17,13.95,13.88
6.57,4.35,16.17,13.95,13.89
6.56,4.34,16.16,13.94,13.9
6.56,4.34,16.16,13.94,13.91
6.55,4.34,16.15,13.94,13.92
6.55,4.33,16.15,13.93,13.93
6.54,4.33,16.14,13.93,13.94
6.54,4.32,16.14,13.92,13.95
6.53,4.32,16.13,13.92,13.96
6.53,4.32,16.13,13.92,13.97
6.52,4.31,16.12,13.91,13.98
6.52,4.31,16.12,13.91,13.99
6.52,4.3,16.12,13.9,14
6.51,4.3,16.11,13.9,14.01
6.51,4.3,16.11,13.9,14.02
6.5,4.29,16.1,13.89,14.03
6.5,4.29,16.1,13.89,14.04
6.49,4.29,16.09,13.89,14.05
6.49,4.28,16.09,13.88,14.06
6.48,4.28,16.08,13.88,14.07
6.48,4.28,16.08,13.88,14.08
6.48,4.27,16.08,13.87,14.09
6.47,4.27,16.07,13.87,14.1
6.47,4.27,16.07,13.87,14.11
6.46,4.26,16.06,13.86,14.12
6.46,4.26,16.06,13.86,14.13
6.46,4.26,16.06,13.86,14.14
6.45,4.25,16.05,13.85,14.15
6.45,4.25,16.05,13.85,14.16
6.44,4.24,16.04,13.84,14.17
6.43,4.24,16.03,13.84,14.18
6.43,4.23,16.03,13.83,14.19
6.42,4.23,16.02,13.83,14.2
6.42,4.23,16.02,13.83,14.21
6.41,4.22,16.01,13.82,14.22
6.41,4.22,16.01,13.82,14.23
6.41,4.22,16.01,13.82,14.24
6.4,4.21,16,13.81,14.25
6.4,4.21,16,13.81,14.26
6.39,4.2,15.99,13.8,14.27
6.39,4.2,15.99,13.8,14.28
6.38,4.2,15.98,13.8,14.29
6.38,4.19,15.98,13.79,14.3
6.37,4.19,15.97,13.79,14.31
6.37,4.19,15.97,13.79,14.32
6.37,4.18,15.97,13.78,14.33
6.36,4.18,15.96,13.78,14.34
6.36,4.18,15.96,13.78,14.35
6.35,4.17,15.95,13.77,14.36
6.35,4.17,15.95,13.77,14.37
6.34,4.16,15.94,13.76,14.38
6.34,4.16,15.94,13.76,14.39
6.33,4.16,15.93,13.76,14.4
6.33,4.15,15.93,13.75,14.41
6.33,4.15,15.93,13.75,14.42
6.32,4.15,15.92,13.75,14.43
6.32,4.14,15.92,13.74,14.44
6.31,4.14,15.91,13.74,14.45
6.31,4.14,15.91,13.74,14.46
6.3,4.13,15.9,13.73,14.47
6.3,4.13,15.9,13.73,14.48
6.3,4.13,15.9,13.73,14.49
6.29,4.12,14.89,13.72,14.5
6.29,4.12,14.89,13.72,14.51
6.28,4.11,14.88,13.71,14.52
6.28,4.11,14.88,13.71,14.53
6.27,4.11,14.87,13.71,14.54
6.27,4.1,14.87,13.7,14.55
6.26,4.1,14.86,13.7,14.56
6.26,4.1,14.86,13.7,14.57
6.26,4.09,14.86,13.69,14.58
6.25,4.09,14.85,13.69,14.59
6.25,4.09,14.85,13.69,14.6
6.24,4.08,14.84,13.68,14.61
6.24,4.08,14.84,13.68,14.62
6.23,4.08,14.83,13.68,14.63
6.23,4.07,14.83,13.67,14.64
6.23,4.07,14.83,13.67,14.65
6.22,4.07,14.82,13.67,14.66
6.22,4.06,14.82,13.66,14.67
6.21,4.06,14.81,13.66,14.68
6.21,4.06,14.81,13.66,14.69
6.21,4.05,14.81,13.65,14.7
6.2,4.05,14.8,13.65,14.71
6.2,4.05,14.8,13.65,14.72
6.19,4.04,14.79,13.64,14.73
6.19,4.04,14.79,13.64,14.74
6.18,4.04,14.78,13.64,14.75
6.18,4.03,14.78,13.63,14.76
6.18,4.03,14.78,13.63,14.77
6.17,4.02,14.77,13.62,14.78
6.17,4.02,14.77,13.62,14.79
6.16,4.02,14.76,13.62,14.8
6.16,4.01,14.76,13.61,14.81
6.15,4.01,14.75,13.61,14.82
6.15,4.01,14.75,13.61,14.83
6.15,4,14.75,13.6,14.84
6.14,4,14.74,13.6,14.85
6.14,4,13.74,13.6,14.86
6.13,3.99,13.73,13.59,14.87
6.13,3.99,13.73,13.59,14.88
6.13,3.99,13.73,13.59,14.89
6.12,3.98,13.72,13.58,14.9
6.12,3.98,13.72,13.58,14.91
6.11,3.98,13.71,13.58,14.92
6.11,3.97,13.71,13.57,14.93
6.11,3.97,13.71,13.57,14.94
6.1,3.97,13.7,13.57,14.95
6.1,3.96,13.7,13.56,14.96
6.09,3.96,15.69,13.56,14.97
6.09,3.96,15.69,13.56,14.98
6.08,3.95,15.68,13.55,14.99
6.08,3.95,15.68,13.55,15
6.08,3.95,15.68,13.55,15.01
6.07,3.94,15.67,13.54,15.02
6.07,3.94,15.67,13.54,15.03
6.06,3.94,15.66,13.54,15.04
6.06,3.93,15.66,13.53,15.05
6.06,3.93,15.66,13.53,15.06
6.05,3.93,15.65,13.53,15.07
6.05,3.93,15.65,13.53,15.08
6.05,3.92,15.65,13.52,15.09
6.04,3.92,15.64,13.52,15.1
6.04,3.92,15.64,13.52,15.11
6.03,3.91,15.63,13.52,15.12
6.03,3.91,15.63,13.51,15.13
6.02,3.91,15.62,13.51,15.14
6.02,3.9,15.62,13.5,15.15
6.02,3.9,15.62,13.5,15.16
6.01,3.9,15.61,13.5,15.17
6.01,3.89,15.61,13.49,15.18
6,3.89,15.6,13.49,15.19
6,3.89,15.6,13.49,15.2
6,3.88,15.6,13.48,15.21
5.99,3.88,15.59,13.48,15.22
5.99,3.88,15.59,13.48,15.23
5.98,3.87,15.58,13.47,15.24
5.98,3.87,15.58,13.47,15.25
5.98,3.87,15.58,13.47,15.26
5.97,3.86,15.57,13.46,15.27
5.97,3.86,15.57,13.46,15.28
5.97,3.86,15.57,13.46,15.29
5.96,3.85,15.56,13.45,15.3
5.96,3.85,15.56,13.45,15.31
5.95,3.85,15.55,13.45,15.32
5.95,3.84,15.55,13.44,15.33
5.95,3.84,15.55,13.44,15.34
5.94,3.84,15.54,13.44,15.35
5.94,3.84,15.54,13.44,15.36
5.93,3.83,15.53,13.43,15.37
5.93,3.83,15.53,13.43,15.38
5.93,3.83,15.53,13.43,15.39
5.92,3.82,15.52,13.42,15.4
5.92,3.82,15.52,13.42,15.41
5.92,3.82,15.52,13.42,15.42
5.91,3.81,15.51,13.42,15.43
5.91,3.81,15.51,13.41,15.44
5.9,3.81,15.5,13.41,15.45
5.9,3.8,15.5,13.4,15.46
5.9,3.8,15.5,13.4,15.47
5.89,3.8,15.49,13.4,15.48
5.89,3.79,15.49,13.39,15.49
5.88,3.79,15.48,13.39,15.5
5.88,3.79,15.48,13.39,15.51
5.88,3.79,15.48,13.39,15.52
5.87,3.78,15.47,13.38,15.53
5.87,3.78,15.47,13.38,15.54
5.87,3.78,15.47,13.38,15.55
5.86,3.77,15.46,13.37,15.56
5.86,3.77,15.46,13.37,15.57
5.85,3.77,15.45,13.37,15.58
5.85,3.76,15.45,13.36,15.59
5.85,3.76,15.45,13.36,15.6
5.84,3.76,15.44,13.36,15.61
5.84,3.75,15.44,13.35,15.62
5.84,3.75,15.44,13.35,15.63
5.83,3.75,15.43,13.35,15.64
5.83,3.75,15.43,13.35,15.65
5.82,3.74,15.42,13.34,15.66
5.82,3.74,15.42,13.34,15.67
5.82,3.74,15.42,13.34,15.68
5.81,3.73,15.41,13.33,15.69
5.81,3.73,15.41,13.33,15.7
5.81,3.73,15.41,13.33,15.71
5.8,3.72,15.4,13.32,15.72
5.8,3.72,15.4,13.32,15.73
5.79,3.72,15.39,13.32,15.74
5.79,3.72,15.39,13.32,15.75
5.79,3.71,15.39,13.31,15.76
5.78,3.71,15.38,13.31,15.77
5.78,3.71,15.38,13.31,15.78
5.78,3.7,15.38,13.3,15.79
5.77,3.7,15.37,13.3,15.8
5.77,3.7,15.37,13.3,15.81
5.77,3.69,15.37,13.29,15.82
5.76,3.69,15.36,13.29,15.83
5.76,3.69,15.36,13.29,15.84
5.75,3.69,15.35,13.29,15.85
5.75,3.68,15.35,13.28,15.86
5.75,3.68,15.35,13.28,15.87
5.74,3.68,15.34,13.28,15.88
5.74,3.67,15.34,13.27,15.89
5.74,3.67,15.34,13.27,15.9
5.73,3.67,15.33,13.27,15.91
5.73,3.66,15.33,13.26,15.92
5.73,3.66,15.33,13.26,15.93
5.72,3.66,15.32,13.26,15.94
5.72,3.66,15.32,13.26,15.95
5.71,3.65,15.31,13.25,15.96
5.71,3.65,15.31,13.25,15.97
5.71,3.65,15.31,13.25,15.98
5.7,3.64,15.3,13.24,15.99
5.7,3.64,15.3,13.24,16
5.7,3.64,15.3,13.24,16.01
5.69,3.64,15.29,13.24,16.02
5.69,3.63,15.29,13.23,16.03
5.69,3.63,15.29,13.23,16.04
5.68,3.63,15.28,13.23,16.05
5.68,3.62,15.28,13.22,16.06
5.68,3.62,15.28,13.22,16.07
5.67,3.62,15.27,13.22,16.08
5.67,3.62,15.27,13.22,16.09
5.67,3.61,15.27,13.21,16.1
5.66,3.61,15.26,13.21,16.11
5.66,3.61,15.26,13.21,16.12
5.65,3.6,15.25,13.2,16.13
5.65,3.6,15.25,13.2,16.14
5.65,3.6,15.25,13.2,16.15
5.64,3.6,15.24,13.2,16.16
5.64,3.59,15.24,13.19,16.17
5.64,3.59,15.24,13.19,16.18
5.63,3.59,15.23,13.19,16.19
5.63,3.58,15.23,13.18,16.2
5.63,3.58,15.23,13.18,16.21
5.62,3.58,15.22,13.18,16.22
5.62,3.58,15.22,13.18,16.23
5.62,3.57,15.22,13.17,16.24
5.61,3.57,15.21,13.17,16.25
5.61,3.57,15.21,13.17,16.26
5.61,3.56,15.21,13.16,16.27
5.6,3.56,15.2,13.16,16.28
5.6,3.56,15.2,13.16,16.29
5.6,3.56,15.2,13.16,16.3
5.59,3.55,15.19,13.15,16.31
5.59,3.55,15.19,13.15,16.32
5.59,3.55,15.19,13.15,16.33
5.58,3.55,15.18,13.15,16.34
5.58,3.54,15.18,13.14,16.35
5.57,3.54,15.17,13.14,16.36
5.57,3.54,15.17,13.14,16.37
5.57,3.53,15.17,13.13,16.38
5.56,3.53,15.16,13.13,16.39
5.56,3.53,15.16,13.13,16.4
5.56,3.53,15.16,13.13,16.41
5.55,3.52,15.15,13.12,16.42
5.55,3.52,15.15,13.12,16.43
5.55,3.52,15.15,13.12,16.44
5.54,3.51,15.14,13.11,16.45
5.54,3.51,15.14,13.11,16.46
5.54,3.51,15.14,13.11,16.47
5.53,3.51,15.13,13.11,16.48
5.53,3.5,15.13,13.1,16.49
5.53,3.5,15.13,13.1,16.5
5.52,3.5,15.12,13.1,16.51
5.52,3.5,15.12,13.1,16.52
5.52,3.49,15.12,13.09,16.53
5.51,3.49,15.11,13.09,16.54
5.51,3.49,15.11,13.09,16.55
5.51,3.48,15.11,13.08,16.56
5.5,3.48,15.1,13.08,16.57
5.5,3.48,15.09,13.08,16.58
5.5,3.48,15.08,13.08,16.59
5.49,3.47,15.09,13.07,16.6
5.49,3.47,15.09,13.07,16.61
5.49,3.47,15.09,13.07,16.62
5.48,3.47,15.08,13.07,16.63
5.48,3.46,15.08,13.06,16.64
5.48,3.46,15.08,13.06,16.65
5.47,3.46,15.07,13.06,16.66
5.47,3.46,15.07,13.06,16.67
5.47,3.45,15.07,13.05,16.68
5.46,3.45,15.06,13.05,16.69
5.46,3.45,15.06,13.05,16.7
5.46,3.44,15.06,13.04,16.71
5.45,3.44,15.05,13.04,16.72
5.45,3.44,15.05,13.04,16.73
5.45,3.44,15.05,13.04,16.74
5.44,3.43,15.04,13.03,16.75
5.44,3.43,15.04,13.03,16.76
5.44,3.43,15.04,13.03,16.77
5.44,3.43,15.04,13.03,16.78
5.43,3.42,15.03,13.02,16.79
5.43,3.42,15.03,13.02,16.8
5.43,3.42,15.03,13.02,16.81
5.42,3.42,15.02,13.02,16.82
5.42,3.41,15.02,13.01,16.83
5.42,3.41,15.02,13.01,16.84
5.41,3.41,15.01,13.01,16.85
5.41,3.4,15.01,13,16.86
5.41,3.4,15.01,13,16.87
5.4,3.4,15,13,16.88
5.4,3.4,15,13,16.89
5.4,3.39,15,12.99,16.9
5.39,3.39,14.99,12.99,16.91
5.39,3.39,14.99,12.99,16.92
5.39,3.39,14.99,12.99,16.93
5.38,3.38,14.98,12.98,16.94
5.38,3.38,14.98,12.98,16.95
5.38,3.38,14.98,12.98,16.96
5.37,3.38,14.97,12.98,16.97
5.37,3.37,14.97,12.97,16.98
5.37,3.37,14.97,12.97,16.99
5.36,3.37,14.96,12.97,17
5.36,3.37,14.96,12.97,17.01
5.36,3.36,14.96,12.96,17.02
5.36,3.36,14.96,12.96,17.03
5.35,3.36,14.95,12.96,17.04
5.35,3.36,14.95,12.96,17.05
5.35,3.35,14.95,12.95,17.06
5.34,3.35,14.94,12.95,17.07
5.34,3.35,14.94,12.95,17.08
5.34,3.35,14.94,12.95,17.09
5.33,3.34,14.93,12.94,17.1
5.33,3.34,14.93,12.94,17.11
5.33,3.34,14.93,12.94,17.12
5.32,3.34,14.92,12.94,17.13
5.32,3.33,14.92,12.93,17.14
5.32,3.33,14.92,12.93,17.15
5.31,3.33,14.91,12.93,17.16
5.31,3.33,14.91,12.93,17.17
5.31,3.32,14.91,12.92,17.18
5.31,3.32,14.91,12.92,17.19
5.3,3.32,14.9,12.92,17.2
5.3,3.32,14.9,12.92,17.21
5.3,3.31,14.9,12.91,17.22
5.29,3.31,14.89,12.91,17.23
5.29,3.31,14.89,12.91,17.24
5.29,3.31,14.89,12.91,17.25
5.28,3.3,14.88,12.9,17.26
5.28,3.3,14.88,12.9,17.27
5.28,3.3,14.88,12.9,17.28
5.27,3.3,14.87,12.9,17.29
5.27,3.29,14.87,12.89,17.3
5.27,3.29,14.87,12.89,17.31
5.27,3.29,14.87,12.89,17.32
5.26,3.29,14.86,12.89,17.33
5.26,3.28,14.86,12.88,17.34
5.26,3.28,14.86,12.88,17.35
5.25,3.28,14.85,12.88,17.36
5.25,3.28,14.85,12.88,17.37
5.25,3.27,14.85,12.87,17.38
5.24,3.27,14.84,12.87,17.39
5.24,3.27,14.84,12.87,17.4
5.24,3.27,14.84,12.87,17.41
5.24,3.26,14.84,12.86,17.42
5.23,3.26,14.83,12.86,17.43
5.23,3.26,14.83,12.86,17.44
5.23,3.26,14.83,12.86,17.45
5.22,3.25,14.82,12.85,17.46
5.22,3.25,14.82,12.85,17.47
5.22,3.25,14.82,12.85,17.48
5.21,3.25,14.81,12.85,17.49
5.21,3.24,14.81,12.84,17.5
5.21,3.24,14.81,12.84,17.51
5.21,3.24,14.81,12.84,17.52
5.2,3.24,14.8,12.84,17.53
5.2,3.23,14.8,12.83,17.54
5.2,3.23,14.8,12.83,17.55
5.19,3.23,14.79,12.83,17.56
5.19,3.23,14.79,12.83,17.57
5.19,3.22,14.79,12.82,17.58
5.18,3.22,14.78,12.82,17.59
5.18,3.22,14.78,12.82,17.6
5.18,3.22,14.78,12.82,17.61
5.18,3.21,14.78,12.81,17.62
5.17,3.21,14.77,12.81,17.63
5.17,3.21,14.77,12.81,17.64
5.17,3.21,14.77,12.81,17.65
5.16,3.21,14.76,12.81,17.66
5.16,3.2,14.76,12.8,17.67
5.16,3.2,14.76,12.8,17.68
5.16,3.2,14.76,12.8,17.69
5.15,3.2,14.75,12.8,17.7
5.15,3.19,14.75,12.79,17.71
5.15,3.19,14.75,12.79,17.72
5.14,3.19,14.74,12.79,17.73
5.14,3.19,14.74,12.79,17.74
5.14,3.18,14.74,12.78,17.75
5.14,3.18,14.74,12.78,17.76
5.13,3.18,14.73,12.78,17.77
5.13,3.18,14.73,12.78,17.78
5.13,3.17,14.73,12.77,17.79
5.12,3.17,14.72,12.77,17.8
5.12,3.17,14.72,12.77,17.81
5.12,3.17,14.72,12.77,17.82
5.11,3.17,14.71,12.77,17.83
5.11,3.16,14.71,12.76,17.84
5.11,3.16,14.71,12.76,17.85
5.11,3.16,14.71,12.76,17.86
5.1,3.16,14.7,12.76,17.87
5.1,3.15,14.7,12.75,17.88
5.1,3.15,14.7,12.75,17.89
5.09,3.15,14.69,12.75,17.9
5.09,3.15,14.69,12.75,17.91
5.09,3.14,14.69,12.74,17.92
5.09,3.14,14.69,12.74,17.93
5.08,3.14,14.68,12.74,17.94
5.08,3.14,14.68,12.74,17.95
5.08,3.14,14.68,12.74,17.96
5.07,3.13,14.67,12.73,17.97
5.07,3.13,14.67,12.73,17.98
5.07,3.13,14.67,12.73,17.99
5.07,3.13,14.67,12.73,18
